"Submission ID","Respondent ID","Submitted at","image-sample_1016-gradient_shap","image-sample_1016-int_gradients","image-sample_1016-deeplift","image-sample_1016-saliency","image-sample_1016-ours","image-sample_1077-deeplift","image-sample_1077-ours","image-sample_1077-saliency","image-sample_1077-int_gradients","image-sample_1077-gradient_shap","image-sample_1465-int_gradients","image-sample_1465-gradient_shap","image-sample_1465-ours","image-sample_1465-saliency","image-sample_1465-deeplift","image-sample_1409-int_gradients","image-sample_1409-gradient_shap","image-sample_1409-ours","image-sample_1409-deeplift","image-sample_1409-saliency","image-sample_1333-ours","image-sample_1333-saliency","image-sample_1333-gradient_shap","image-sample_1333-int_gradients","image-sample_1333-deeplift","image-sample_165-gradient_shap","image-sample_165-ours","image-sample_165-int_gradients","image-sample_165-deeplift","image-sample_165-saliency","image-sample_2136-ours","image-sample_2136-deeplift","image-sample_2136-gradient_shap","image-sample_2136-int_gradients","image-sample_2136-saliency","image-sample_2161-saliency","image-sample_2161-ours","image-sample_2161-deeplift","image-sample_2161-gradient_shap","image-sample_2161-int_gradients","image-sample_2546-saliency","image-sample_2546-ours","image-sample_2546-int_gradients","image-sample_2546-gradient_shap","image-sample_2546-deeplift","image-sample_860-deeplift","image-sample_860-int_gradients","image-sample_860-saliency","image-sample_860-ours","image-sample_860-gradient_shap","text-sample_11964-int_gradients","text-sample_11964-deeplift","text-sample_11964-ours","text-sample_11964-gradient_shap","text-sample_11964-saliency","text-sample_12015-saliency","text-sample_12015-int_gradients","text-sample_12015-gradient_shap","text-sample_12015-deeplift","text-sample_12015-ours","text-sample_14688-deeplift","text-sample_14688-int_gradients","text-sample_14688-ours","text-sample_14688-gradient_shap","text-sample_14688-saliency","text-sample_20150-saliency","text-sample_20150-int_gradients","text-sample_20150-ours","text-sample_20150-gradient_shap","text-sample_20150-deeplift","text-sample_20609-ours","text-sample_20609-saliency","text-sample_20609-int_gradients","text-sample_20609-gradient_shap","text-sample_20609-deeplift","text-sample_23710-gradient_shap","text-sample_23710-ours","text-sample_23710-deeplift","text-sample_23710-saliency","text-sample_23710-int_gradients","text-sample_6570-deeplift","text-sample_6570-saliency","text-sample_6570-ours","text-sample_6570-gradient_shap","text-sample_6570-int_gradients","text-sample_7057-ours","text-sample_7057-int_gradients","text-sample_7057-deeplift","text-sample_7057-saliency","text-sample_7057-gradient_shap","text-sample_7967-ours","text-sample_7967-gradient_shap","text-sample_7967-deeplift","text-sample_7967-int_gradients","text-sample_7967-saliency","text-sample_9637-ours","text-sample_9637-int_gradients","text-sample_9637-saliency","text-sample_9637-deeplift","text-sample_9637-gradient_shap","audio-sample_10167-saliency","audio-sample_10167-deeplift","audio-sample_10167-ours","audio-sample_10167-int_gradients","audio-sample_10167-gradient_shap","audio-sample_10209-gradient_shap","audio-sample_10209-int_gradients","audio-sample_10209-deeplift","audio-sample_10209-saliency","audio-sample_10209-ours","audio-sample_20559-ours","audio-sample_20559-gradient_shap","audio-sample_20559-deeplift","audio-sample_20559-saliency","audio-sample_20559-int_gradients","audio-sample_22386-ours","audio-sample_22386-int_gradients","audio-sample_22386-gradient_shap","audio-sample_22386-saliency","audio-sample_22386-deeplift","audio-sample_20932-gradient_shap","audio-sample_20932-deeplift","audio-sample_20932-int_gradients","audio-sample_20932-ours","audio-sample_20932-saliency","audio-sample_23322-ours","audio-sample_23322-saliency","audio-sample_23322-int_gradients","audio-sample_23322-deeplift","audio-sample_23322-gradient_shap","audio-sample_23654-ours","audio-sample_23654-gradient_shap","audio-sample_23654-saliency","audio-sample_23654-deeplift","audio-sample_23654-int_gradients","audio-sample_24052-saliency","audio-sample_24052-ours","audio-sample_24052-gradient_shap","audio-sample_24052-int_gradients","audio-sample_24052-deeplift","audio-sample_4380-deeplift","audio-sample_4380-saliency","audio-sample_4380-int_gradients","audio-sample_4380-ours","audio-sample_4380-gradient_shap","audio-sample_8389-ours","audio-sample_8389-int_gradients","audio-sample_8389-deeplift","audio-sample_8389-saliency","audio-sample_8389-gradient_shap","multimodal-sample_1013-deeplift","multimodal-sample_1013-gradient_shap","multimodal-sample_1013-ours","multimodal-sample_1013-int_gradients","multimodal-sample_1013-saliency","multimodal-sample_1098-int_gradients","multimodal-sample_1098-saliency","multimodal-sample_1098-gradient_shap","multimodal-sample_1098-ours","multimodal-sample_1098-deeplift","multimodal-sample_1458-gradient_shap","multimodal-sample_1458-int_gradients","multimodal-sample_1458-saliency","multimodal-sample_1458-ours","multimodal-sample_1458-deeplift","multimodal-sample_1459-ours","multimodal-sample_1459-saliency","multimodal-sample_1459-deeplift","multimodal-sample_1459-gradient_shap","multimodal-sample_1459-int_gradients","multimodal-sample_1912-gradient_shap","multimodal-sample_1912-ours","multimodal-sample_1912-saliency","multimodal-sample_1912-int_gradients","multimodal-sample_1912-deeplift","multimodal-sample_301-deeplift","multimodal-sample_301-ours","multimodal-sample_301-gradient_shap","multimodal-sample_301-saliency","multimodal-sample_301-int_gradients","multimodal-sample_448-gradient_shap","multimodal-sample_448-saliency","multimodal-sample_448-deeplift","multimodal-sample_448-int_gradients","multimodal-sample_448-ours","multimodal-sample_34-saliency","multimodal-sample_34-gradient_shap","multimodal-sample_34-int_gradients","multimodal-sample_34-ours","multimodal-sample_34-deeplift","multimodal-sample_612-ours","multimodal-sample_612-deeplift","multimodal-sample_612-saliency","multimodal-sample_612-int_gradients","multimodal-sample_612-gradient_shap","multimodal-sample_827-saliency","multimodal-sample_827-gradient_shap","multimodal-sample_827-deeplift","multimodal-sample_827-ours","multimodal-sample_827-int_gradients"
"KpVlYRD","gDW6j5d","2026-04-30 14:05:20","1","1","1","1","3","1","4","1","1","1","1","1","2","1","1","1","1","4","1","1","3","1","1","1","1","1","5","1","1","1","3","1","1","1","1","1","4","1","1","1","1","5","1","1","1","1","1","1","4","1","4","5","2","2","3","4","4","5","3","4","4","5","3","5","4","4","4","4","5","4","5","3","3","4","3","2","4","5","5","4","4","4","5","2","4","4","1","3","3","2","4","3","2","3","4","3","2","3","3","5","3","3","5","4","3","3","4","4","3","2","3","5","4","3","4","2","3","2","4","5","2","4","4","2","4","2","4","5","5","5","2","3","3","3","4","3","2","3","4","4","4","4","4","2","5","2","3","3","4","3","3","2","5","2","3","2","2","2","5","3","2","2","3","5","3","5","2","2","2","2","3","4","4","4","3","3","5","3","4","2","3","3","3","3","5","3","3","2","4","3","4","3","3","3","2","3","3","3","4","2"
"ArBLvbl","Y5VlRgJ","2026-04-30 14:28:05","1","1","1","1","4","1","5","1","1","1","1","1","3","1","1","1","1","5","1","1","4","1","1","1","1","1","5","2","1","1","5","2","1","2","1","1","5","1","1","1","1","4","1","1","1","2","1","3","5","2","4","4","2","2","3","2","2","3","1","5","3","3","4","2","2","4","3","2","4","3","3","1","1","3","1","2","4","3","4","3","3","2","3","1","2","4","1","3","3","2","4","2","3","2","2","3","2","3","3","4","2","2","3","4","1","4","2","2","3","2","2","1","3","3","4","2","4","2","3","4","2","4","4","1","2","2","4","4","4","3","1","2","2","4","4","2","1","3","4","4","4","3","4","1","2","1","4","4","4","2","2","2","5","2","2","2","2","2","5","3","1","3","2","5","2","5","2","1","2","1","3","5","2","2","2","2","5","2","2","2","2","3","2","2","5","1","1","1","4","3","4","2","2","2","1","1","1","1","5","2"
"yXJ9eWg","1AGorjg","2026-04-30 15:07:37","1","1","1","1","4","1","3","1","1","1","1","1","2","1","1","1","1","3","1","1","2","1","1","1","1","1","4","1","1","1","3","1","1","1","1","1","3","1","1","1","1","3","1","1","1","1","1","1","5","1","3","3","2","1","3","2","2","3","2","4","4","3","4","3","3","3","4","3","3","2","3","1","1","3","1","2","3","2","2","1","4","2","2","1","3","4","1","3","2","2","4","4","4","4","5","4","3","3","4","4","1","1","3","2","2","3","3","3","3","2","4","4","4","2","5","4","5","4","5","4","5","4","4","3","2","3","1","2","3","2","4","5","2","2","2","1","3","5","5","5","4","2","3","4","4","2","2","4","1","4","2","1","5","2","2","1","2","2","5","2","1","2","1","5","1","4","2","2","1","1","2","5","2","1","1","1","5","1","1","1","1","2","1","1","5","1","1","1","4","1","5","1","1","1","1","1","2","1","5","2"
"bZWx1dL","81j4A9k","2026-04-30 15:56:09","2","2","2","2","4","1","5","1","2","1","1","1","3","1","1","1","1","5","1","1","4","1","1","1","1","1","5","3","1","1","5","2","1","4","2","2","3","2","1","2","2","4","2","1","1","2","2","3","5","2","3","2","1","5","1","1","3","2","4","1","3","4","2","4","3","2","2","1","2","3","2","2","2","3","2","3","2","1","1","2","3","3","2","1","3","2","1","3","3","2","2","3","3","4","4","2","4","4","4","4","2","2","4","3","3","3","4","4","3","4","3","4","4","4","4","3","3","3","3","3","3","4","4","2","3","3","3","4","4","4","3","4","3","3","4","2","3","3","4","3","4","4","4","3","2","3","2","2","3","3","2","2","4","3","2","2","3","3","4","3","2","3","2","5","2","4","2","2","2","2","2","4","3","3","2","3","5","3","2","3","2","3","2","2","5","2","1","2","4","3","4","2","2","1","1","2","3","2","4","2"
"jelQRB6","Ek87N24","2026-04-30 16:06:56","1","1","1","2","5","1","4","1","1","1","1","1","3","1","1","1","1","5","1","1","4","1","1","1","1","1","5","2","1","1","5","2","1","3","1","1","5","1","1","2","1","5","1","1","1","1","1","3","5","2","5","5","3","2","3","2","2","4","3","4","4","3","4","2","4","4","4","4","4","4","4","3","2","4","2","3","5","4","4","4","4","4","4","1","2","4","1","5","4","2","4","3","4","4","4","5","5","5","5","5","3","4","4","3","2","1","2","3","3","4","4","3","2","1","2","4","3","3","2","2","4","3","4","4","1","4","1","2","2","2","4","3","2","2","2","1","5","3","3","2","3","2","3","4","3","4","2","2","1","1","2","2","5","3","2","1","3","3","5","2","1","3","1","5","2","5","2","2","1","3","2","5","2","3","2","2","5","2","2","4","2","4","3","2","5","2","2","3","5","3","5","4","4","2","1","2","3","2","5","4"
"4aK8AeO","VLoOgjE","2026-04-30 17:53:17","1","2","1","1","4","1","3","1","1","1","1","1","5","2","1","1","2","5","1","1","4","1","1","2","1","1","4","3","1","1","3","3","2","3","1","1","2","1","1","1","2","4","3","2","2","2","2","3","4","2","4","4","1","3","4","2","2","3","2","5","3","4","4","5","4","3","4","3","4","3","4","2","2","2","2","1","5","2","2","2","3","3","3","1","4","3","3","3","3","4","2","2","5","4","4","3","4","4","4","4","1","1","3","1","1","1","1","1","1","3","4","4","3","3","3","4","4","4","3","3","3","3","3","3","3","4","3","3","3","3","3","2","2","2","2","2","5","4","4","3","3","2","3","5","3","4","4","4","4","3","5","2","3","2","3","2","4","3","3","2","3","2","4","5","3","5","1","1","4","2","4","5","4","4","2","1","4","3","1","1","2","4","3","2","4","2","2","3","3","3","5","3","4","2","2","2","3","2","3","3"
"J1O2LZz","q4jljeg","2026-04-30 20:42:17","1","1","1","1","4","1","3","1","1","1","1","1","4","1","1","1","1","5","1","1","4","1","1","1","1","1","4","2","1","1","3","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","4","1","4","5","1","2","3","1","2","3","2","3","3","4","3","4","3","3","4","4","4","2","3","1","1","4","1","2","4","3","3","2","2","2","3","1","3","4","1","4","3","2","4","2","3","3","3","3","2","3","3","4","1","1","5","4","4","5","4","4","5","4","4","4","4","3","3","5","4","4","3","3","2","2","2","2","2","5","4","3","3","3","4","3","3","3","3","3","4","3","3","3","4","4","3","4","3","5","2","2","2","3","2","2","4","2","2","2","2","2","4","2","2","2","2","4","2","4","2","2","2","2","2","4","2","2","2","2","4","2","2","2","2","2","1","2","4","1","2","2","4","2","5","2","2","1","1","1","1","1","4","1"
"2jKrY2b","44P66rk","2026-05-01 08:49:01","1","1","1","1","1","1","5","1","2","1","1","1","3","1","1","1","1","5","1","1","5","1","1","1","1","1","3","2","1","1","2","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","1","2","3","1","2","1","2","2","4","3","2","3","2","1","3","4","2","4","3","3","3","3","4","4","4","2","2","3","1","4","1","4","1","3","3","3","2","2","4","2","1","3","3","2","2","4","4","5","4","3","4","4","4","4","1","1","3","1","1","1","3","3","2","3","4","3","2","2","2","3","3","3","2","2","2","1","1","1","1","4","1","2","2","2","3","3","2","2","2","1","5","3","2","3","3","2","2","2","2","2","1","2","2","1","1","1","3","1","2","1","1","1","3","2","1","1","1","5","2","4","1","1","1","1","1","3","1","1","1","1","4","1","1","2","2","3","2","2","5","1","1","2","4","3","2","2","1","1","1","1","1","1","4","1"
"ArB8MPN","rj244eM","2026-05-01 08:56:11","1","3","2","1","5","1","5","1","1","1","1","1","5","1","1","1","2","5","1","1","5","1","2","3","1","1","5","4","1","1","4","3","1","3","1","1","5","1","2","2","2","5","3","4","1","2","3","4","5","3","4","4","3","3","3","2","3","4","1","5","4","5","5","3","3","4","4","5","4","4","4","2","1","3","1","1","5","1","4","4","2","4","4","1","5","3","1","3","3","3","5","4","4","4","4","4","4","4","5","3","1","2","5","2","3","4","4","4","4","5","5","4","4","3","4","4","4","3","2","2","3","3","3","2","3","5","2","1","1","1","4","1","1","2","1","1","4","3","4","3","2","1","1","4","3","4","1","1","1","1","1","1","3","1","1","4","2","1","4","2","1","3","1","3","1","5","1","2","1","3","1","4","3","4","1","1","5","4","3","4","2","5","3","2","5","1","3","4","5","1","5","3","2","3","1","4","4","1","5","4"
"aO2GRDq","eq9J4ze","2026-05-01 09:23:50","1","1","1","1","5","1","5","1","1","1","1","1","4","1","1","1","1","5","1","1","5","1","1","1","1","1","4","2","1","1","4","2","1","1","1","1","5","1","1","1","1","5","1","1","1","1","1","2","5","2","4","5","1","2","5","1","2","3","1","5","3","5","1","5","3","3","3","4","4","5","5","1","1","2","1","2","4","4","4","3","4","4","5","1","5","4","1","5","5","3","5","2","3","3","3","3","4","4","4","5","1","1","4","3","3","2","3","3","3","4","4","2","2","2","2","4","3","2","3","3","3","3","3","4","3","4","2","3","3","3","4","3","1","2","2","1","5","3","3","2","2","2","2","5","2","4","1","1","2","1","2","1","5","1","1","1","2","2","5","2","2","3","1","5","2","5","1","1","1","2","2","5","2","1","1","1","5","1","2","3","1","2","1","3","5","1","1","1","3","1","5","2","3","1","1","1","1","1","4","2"
"5XZLOMo","oblq761","2026-05-01 12:18:40","1","1","1","1","3","1","4","1","1","1","1","1","3","1","1","1","1","5","1","1","5","1","1","1","1","1","5","1","1","1","5","1","1","1","2","1","5","1","1","1","1","4","1","1","1","1","1","2","5","1","2","3","4","1","1","2","3","3","3","5","4","4","5","4","4","4","4","5","5","5","5","1","1","3","3","1","5","3","3","2","1","1","3","1","4","2","1","4","4","3","5","3","4","3","3","5","4","3","4","5","1","1","4","2","2","4","4","4","3","5","5","5","5","3","3","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","4","3","3","3","2","5","3","3","3","3","3","3","5","3","5","3","3","3","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","4","1","3","2","1","2","1","2","5","2","2","2","5","1","5","2","2","1","1","3","3","1","5","2"
"8NZGWok","WOlLMGN","2026-05-01 12:26:07","1","2","2","2","5","1","5","1","2","1","1","1","5","1","1","1","1","5","1","1","5","1","1","1","1","1","5","3","1","1","5","3","1","2","3","1","4","1","1","2","2","4","1","1","1","2","2","3","5","2","4","4","2","3","4","2","3","4","2","4","4","5","3","5","4","4","4","4","3","4","4","1","1","3","1","3","4","4","4","4","4","4","3","2","5","3","1","4","4","2","4","3","4","4","4","4","4","4","4","5","4","4","3","4","4","4","4","4","4","3","3","4","4","4","4","3","4","3","4","4","3","4","4","2","4","2","4","4","4","4","3","4","4","4","4","3","3","4","4","4","4","4","4","3","4","3","4","4","4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","5","3","3","4","3","4","4","3","5","3","3","3","5","3","4","3","3","3","3","3","3","3","5","3"
"VpzVy1g","Ek82b2A","2026-05-01 12:33:27","1","1","1","2","3","1","3","1","1","1","1","2","4","1","1","1","2","4","1","1","4","1","1","1","1","1","4","4","1","1","4","3","1","2","1","1","4","1","1","1","1","4","2","1","1","1","2","3","4","3","2","4","1","3","3","2","3","3","1","2","2","2","4","4","2","1","4","4","4","3","4","1","2","3","1","1","4","4","4","3","2","2","4","2","4","4","1","4","4","2","4","3","3","3","3","5","4","4","4","4","1","1","2","1","1","4","4","4","4","4","2","2","1","1","1","5","4","1","1","1","3","3","2","4","1","5","1","2","1","2","5","4","1","1","1","5","5","1","3","2","1","1","1","5","1","5","3","1","2","1","1","3","4","3","1","2","1","1","3","1","1","3","3","4","1","3","3","1","1","1","1","4","1","1","1","1","5","4","2","3","1","5","2","1","5","1","1","1","4","1","5","2","3","1","1","1","2","1","5","3"
"2jKLGLp","vGqldBA","2026-05-01 13:06:44","4","2","2","5","1","3","1","4","3","2","2","3","1","2","4","3","3","1","3","3","1","3","4","3","3","2","4","3","1","2","4","3","2","3","3","2","5","3","3","3","3","4","3","2","1","2","3","3","5","2","3","3","4","3","5","2","3","3","2","3","4","3","4","2","4","3","2","5","2","2","4","1","1","3","1","2","4","2","3","2","2","3","3","1","3","2","1","4","4","2","4","2","2","3","4","3","4","5","3","3","1","3","5","4","2","3","2","4","5","5","3","2","3","1","2","3","3","2","3","4","3","4","2","4","3","4","1","3","4","2","4","4","3","4","4","1","3","2","3","1","1","2","1","3","3","4","1","1","1","1","2","1","4","2","3","1","3","3","4","4","2","3","3","5","3","4","3","3","2","3","2","5","3","2","3","3","5","3","2","2","3","4","2","2","5","2","3","2","5","3","5","3","2","3","3","3","2","3","5","2"
"LDPXeNj","rj2eYVR","2026-05-01 13:22:35","1","2","2","2","4","1","5","1","1","1","1","1","3","1","1","1","1","5","1","1","5","1","1","1","1","1","4","2","1","1","3","2","1","2","1","1","3","1","1","2","1","4","1","1","1","1","1","1","4","1","3","4","3","1","4","2","4","4","3","5","3","4","3","4","3","4","5","4","3","3","3","1","1","2","1","2","5","3","3","3","4","4","4","1","5","3","1","3","4","4","5","5","5","3","4","3","5","5","5","4","1","2","2","5","4","4","4","4","4","2","2","4","4","3","4","2","5","3","4","5","4","5","5","1","2","1","2","3","3","3","2","3","3","4","5","2","1","3","3","3","5","5","5","1","3","1","3","3","4","4","4","1","5","3","5","2","3","2","5","4","3","4","3","4","3","5","4","2","3","3","3","4","3","3","2","2","4","2","2","3","2","3","3","2","5","1","1","2","4","3","4","2","3","2","2","2","1","1","5","3"
"la6W2WW","D40Lk0q","2026-05-01 16:28:31","1","2","1","1","5","1","4","1","1","1","1","1","3","1","1","1","1","4","1","1","3","1","1","1","1","1","4","2","1","1","3","1","1","2","1","1","4","1","1","1","1","4","1","1","1","1","2","1","4","1","3","4","2","3","3","2","3","4","3","1","4","4","2","3","5","3","4","3","3","3","5","2","2","3","2","2","4","4","4","3","3","3","3","2","3","4","1","5","5","2","4","4","5","4","4","4","4","4","4","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","5","2","2","3","3","2","5","3","3","3","3","5","2","5","2","1","1","1","2","5","2","2","2","1","5","2","2","2","2","3","1","2","5","1","1","1","4","3","5","2","2","2","1","2","2","1","5","2"
"Qo7YlE8","VLorPK6","2026-05-01 16:39:38","1","1","1","2","5","1","3","1","2","1","1","1","3","2","1","2","2","5","1","2","2","1","2","1","1","1","5","4","2","2","5","3","2","3","4","1","5","2","2","3","2","4","3","2","1","2","3","3","5","3","4","4","3","2","2","2","3","3","2","5","3","3","2","5","4","4","4","4","3","2","3","1","2","3","2","2","4","2","3","2","3","3","2","1","5","3","1","3","3","1","3","4","4","3","3","4","3","3","4","5","2","3","2","2","3","3","2","2","2","3","2","3","3","2","3","2","2","3","2","2","2","3","2","2","2","2","2","2","2","3","2","3","2","2","2","2","3","2","2","2","2","2","3","2","2","2","2","2","2","2","3","1","5","2","3","2","3","1","5","2","1","3","2","4","3","5","3","2","2","2","3","4","2","2","2","2","5","2","2","3","2","4","3","3","5","2","3","3","4","2","4","2","2","2","3","2","3","2","5","3"
"rDodqRv","J98yY77","2026-05-01 19:48:27","4","3","3","3","3","4","3","2","2","2","3","2","4","3","2","3","2","4","3","3","4","2","2","2","3","3","5","3","2","1","5","3","2","2","2","1","5","1","1","2","1","5","2","2","2","2","3","4","5","1","5","4","1","3","3","4","5","4","3","2","5","4","2","4","5","5","4","2","3","5","2","3","1","3","5","2","1","4","3","5","4","4","2","3","5","2","1","5","5","4","2","4","5","4","5","2","4","5","5","4","3","3","4","2","1","2","4","2","3","3","3","3","3","3","3","2","3","4","2","2","5","3","4","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","4","2","4","5","5","2","4","1","4","5","2","4","1","2","1","2","4","4","5","5","1","2","2","4","4","1","2","2","2","2","4","4","2","5","1","3","3","5","2","5","2","1","1","2","1","3","2","4","3"
"X54BreL","KY8X7pM","2026-05-01 22:15:45","1","1","1","1","5","1","5","1","1","1","1","1","4","1","1","1","1","5","1","1","5","1","1","1","1","1","5","1","1","1","4","1","1","1","1","1","4","1","1","1","1","4","1","1","1","1","1","1","5","1","3","5","1","1","4","1","3","4","1","5","3","4","4","3","3","5","4","3","1","4","5","1","1","4","1","3","3","5","4","3","3","3","3","1","5","3","1","5","5","3","3","4","5","3","5","1","4","3","3","5","1","1","5","3","3","2","2","2","2","5","5","3","3","2","3","5","2","3","2","2","3","3","3","4","3","3","4","5","4","3","3","3","4","4","4","2","3","4","3","3","3","4","4","5","3","3","3","3","4","5","1","1","5","1","1","1","1","1","5","1","1","1","1","5","1","5","1","1","1","1","1","5","1","1","1","1","5","1","1","1","1","1","1","1","5","1","1","1","4","1","5","1","1","1","1","1","1","1","4","1"
"Qo7B7vl","5BERK6N","2026-05-01 22:39:29","4","3","4","4","4","4","3","4","3","2","5","4","3","3","5","5","3","4","5","5","2","4","3","3","5","3","2","1","2","4","1","1","3","1","1","3","3","3","3","4","4","2","2","1","4","3","2","2","4","3","4","3","4","4","3","4","4","4","3","3","3","2","4","3","4","4","3","3","3","4","4","3","4","5","3","4","3","3","3","3","4","3","3","3","4","4","3","4","4","4","5","4","3","4","4","4","1","4","4","4","4","4","4","4","4","3","4","5","4","5","4","4","5","4","4","5","4","5","3","4","4","4","4","4","4","5","4","4","4","4","4","5","5","4","4","3","4","3","4","5","5","4","3","4","5","5","4","4","5","3","3","1","3","1","2","1","1","2","3","3","3","2","4","2","4","4","3","3","4","4","4","5","3","4","5","4","3","4","4","3","5","1","3","4","2","4","1","1","2","3","4","1","1","1","4","4","3","3","4","3"